"var_names","is_consequence","group","group_color","var_type"
"BCLAF1",1,"Other","A9EBA9",1
"BLVRB",1,"Other","A9EBA9",1
"BOD1L1",0,"TF","F0C69C",1
"BOLA3",1,"Other","A9EBA9",1
"BPTF",1,"Other","A9EBA9",1
"BST2",1,"Other","A9EBA9",1
"BX842570.1",1,"Other","A9EBA9",1
"C12orf57",1,"Other","A9EBA9",1
"C19orf53",1,"Other","A9EBA9",1
"C1orf162",1,"Other","A9EBA9",1
"C1QBP",1,"Other","A9EBA9",1
"C1QTNF4",0,"TF","F0C69C",1
"C4orf3",1,"Other","A9EBA9",1
"C9orf16",1,"Other","A9EBA9",1
"CALN1",1,"Other","A9EBA9",1
"CAPG",1,"Other","A9EBA9",1
"CARD11",1,"Other","A9EBA9",1
"CASP1",1,"Other","A9EBA9",1
"CASP3",1,"Other","A9EBA9",1
"CAVIN1",1,"Other","A9EBA9",1
"CAVIN2",0,"TF","F0C69C",1
"CBWD2",1,"Other","A9EBA9",1
"CCDC124",1,"Other","A9EBA9",1
"CCDC28B",0,"TF","F0C69C",1
"CCND2",1,"Other","A9EBA9",1
"CCT3",1,"Other","A9EBA9",1
"CCT4",1,"Other","A9EBA9",1
"CCT5",1,"Other","A9EBA9",1
"CCT7",1,"Other","A9EBA9",1
"CCT8",1,"Other","A9EBA9",1
"CD244",1,"Other","A9EBA9",1
"CD36",1,"Other","A9EBA9",1
"CD48",1,"Other","A9EBA9",1
"CD74",1,"Other","A9EBA9",1
"CD81",1,"Other","A9EBA9",1
"CD82",1,"Other","A9EBA9",1
"CD84",1,"Other","A9EBA9",1
"CD93",1,"Other","A9EBA9",1
"CD96",1,"Other","A9EBA9",1
"CDC26",1,"Other","A9EBA9",1
"CDC42",1,"Other","A9EBA9",1
"CDK13",1,"Other","A9EBA9",1
"CDK6",1,"Other","A9EBA9",1
"CEACAM4",1,"Other","A9EBA9",1
"CEBPD",0,"TF","F0C69C",1
"CENPX",1,"Other","A9EBA9",1
"CEP350",1,"Other","A9EBA9",1
"CFL1",1,"Other","A9EBA9",1
"CHCHD10",1,"Other","A9EBA9",1
"CHCHD2",1,"Other","A9EBA9",1
"CHCHD2P9",1,"Other","A9EBA9",1
"CHCHD7",1,"Other","A9EBA9",1
"CIAO2B",1,"Other","A9EBA9",1
"CIB1",1,"Other","A9EBA9",1
"CILP2",1,"Other","A9EBA9",1
"CITED2",1,"Other","A9EBA9",1
"CITED4",1,"Other","A9EBA9",1
"CKB",1,"Other","A9EBA9",1
"CKS1B",1,"Other","A9EBA9",1
"CLCN4",1,"Other","A9EBA9",1
"CLEC11A",1,"Other","A9EBA9",1
"CLINT1",1,"Other","A9EBA9",1
"CLU",0,"TF","F0C69C",1
"CMC1",1,"Other","A9EBA9",1
"CMPK2",1,"Other","A9EBA9",1
"CNBP",1,"Other","A9EBA9",1
"CNRIP1",0,"TF","F0C69C",1
"COMT",1,"Other","A9EBA9",1
"COPS9",1,"Other","A9EBA9",1
"COX14",1,"Other","A9EBA9",1
"COX17",1,"Other","A9EBA9",1
"COX4I1",1,"Other","A9EBA9",1
"COX5A",1,"Other","A9EBA9",1
"COX5B",1,"Other","A9EBA9",1
"COX6A1",0,"TF","F0C69C",1
"COX6B1",1,"Other","A9EBA9",1
"COX6C",1,"Other","A9EBA9",1
"COX7A2",1,"Other","A9EBA9",1
"COX7B",1,"Other","A9EBA9",1
"COX7C",1,"Other","A9EBA9",1
"COX7CP1",1,"Other","A9EBA9",1
"COX8A",1,"Other","A9EBA9",1
"CPA3",1,"Other","A9EBA9",1
"CPD",1,"Other","A9EBA9",1
"CPNE1",1,"Other","A9EBA9",1
"CPOX",1,"Other","A9EBA9",1
"CPPED1",1,"Other","A9EBA9",1
"CRLF3",1,"Other","A9EBA9",1
"CROCC",1,"Other","A9EBA9",1
"CRYBG1",0,"TF","F0C69C",1
"CSF2RB",0,"TF","F0C69C",1
"CSF3R",0,"TF","F0C69C",1
"CSKMT",1,"Other","A9EBA9",1
"CST7",1,"Other","A9EBA9",1
"CSTA",1,"Other","A9EBA9",1
"CTNNBL1",1,"Other","A9EBA9",1
"CTSG",0,"TF","F0C69C",1
"CTTNBP2",0,"TF","F0C69C",1
"CTU1",1,"Other","A9EBA9",1
"CUTA",1,"Other","A9EBA9",1
"CXCR4",1,"Other","A9EBA9",1
"CYBA",1,"Other","A9EBA9",1
"CYC1",1,"Other","A9EBA9",1
"CYP1B1",1,"Other","A9EBA9",1
"DAD1",1,"Other","A9EBA9",1
"DAG1",1,"Other","A9EBA9",1
"DBT",1,"Other","A9EBA9",1
"DCAF13",1,"Other","A9EBA9",1
"DCTPP1",1,"Other","A9EBA9",1
"DCXR",1,"Other","A9EBA9",1
"DDX39A",1,"Other","A9EBA9",1
"DDX3Y",0,"TF","F0C69C",1
"DENND10",1,"Other","A9EBA9",1
"DENND3",1,"Other","A9EBA9",1
"DLK1",1,"Other","A9EBA9",1
"DMTN",1,"Other","A9EBA9",1
"DNAJC19",1,"Other","A9EBA9",1
"DNAJC21",1,"Other","A9EBA9",1
"DNAJC6",0,"TF","F0C69C",1
"DOCK5",1,"Other","A9EBA9",1
"DOCK8",1,"Other","A9EBA9",1
"DPM3",1,"Other","A9EBA9",1
"DPPA4",1,"Other","A9EBA9",1
"DRG1",1,"Other","A9EBA9",1
"DST",1,"Other","A9EBA9",1
"DSTN",1,"Other","A9EBA9",1
"DUSP3",0,"TF","F0C69C",1
"DYNLL1",1,"Other","A9EBA9",1
"DYSF",1,"Other","A9EBA9",1
"EDEM3",1,"Other","A9EBA9",1
"EEF1B2",1,"Other","A9EBA9",1
"EEF1B2P6",1,"Other","A9EBA9",1
"EEF1D",1,"Other","A9EBA9",1
"EEF1DP1",1,"Other","A9EBA9",1
"EEF1GP5",1,"Other","A9EBA9",1
"EIF1AY",0,"TF","F0C69C",1
"EIF2AK2",1,"Other","A9EBA9",1
"EIF3A",1,"Other","A9EBA9",1
"EIF3G",1,"Other","A9EBA9",1
"EIF3I",1,"Other","A9EBA9",1
"EIF3K",1,"Other","A9EBA9",1
"EIF3M",1,"Other","A9EBA9",1
"EIF4E2",1,"Other","A9EBA9",1
"EIF4EBP1",1,"Other","A9EBA9",1
"EIF4H",1,"Other","A9EBA9",1
"EIF5A",1,"Other","A9EBA9",1
"EIF5AL1",1,"Other","A9EBA9",1
"ELANE",0,"TF","F0C69C",1
"ELOB",1,"Other","A9EBA9",1
"ELOC",1,"Other","A9EBA9",1
"ELP5",1,"Other","A9EBA9",1
"EMB",1,"Other","A9EBA9",1
"EMC4",1,"Other","A9EBA9",1
"EMC6",1,"Other","A9EBA9",1
"EMG1",1,"Other","A9EBA9",1
"EMILIN2",1,"Other","A9EBA9",1
"EMP1",1,"Other","A9EBA9",1
"EMP3",0,"TF","F0C69C",1
"ENDOG",1,"Other","A9EBA9",1
"ENSA",1,"Other","A9EBA9",1
"EPB41L3",1,"Other","A9EBA9",1
"EPOR",1,"Other","A9EBA9",1
"ERH",0,"TF","F0C69C",1
"ERO1A",1,"Other","A9EBA9",1
"ESAM",0,"TF","F0C69C",1
"EXOSC7",1,"Other","A9EBA9",1
"EZR",1,"Other","A9EBA9",1
"F2RL3",1,"Other","A9EBA9",1
"FABP5",1,"Other","A9EBA9",1
"FAM107B",0,"TF","F0C69C",1
"FAM160B1",1,"Other","A9EBA9",1
"FAM162A",1,"Other","A9EBA9",1
"FAM171A1",1,"Other","A9EBA9",1
"FAM207A",1,"Other","A9EBA9",1
"FAM83F",1,"Other","A9EBA9",1
"FAU",1,"Other","A9EBA9",1
"FBL",1,"Other","A9EBA9",1
"FBLN2",0,"TF","F0C69C",1
"FBN2",0,"TF","F0C69C",1
"FCER1A",0,"TF","F0C69C",1
"FGFR1",1,"Other","A9EBA9",1
"FHL2",1,"Other","A9EBA9",1
"FHOD1",1,"Other","A9EBA9",1
"FLT3",1,"Other","A9EBA9",1
"FNDC3B",1,"Other","A9EBA9",1
"FP671120.7",1,"Other","A9EBA9",1
"FP671120.8",1,"Other","A9EBA9",1
"FPR2",1,"Other","A9EBA9",1
"FREM1",0,"TF","F0C69C",1
"FRG1EP",1,"Other","A9EBA9",1
"FTH1",0,"TF","F0C69C",1
"FTH1P1",1,"Other","A9EBA9",1
"FTH1P2",1,"Other","A9EBA9",1
"FTL",0,"TF","F0C69C",1
"FUT4",1,"Other","A9EBA9",1
"FUT7",1,"Other","A9EBA9",1
"GADD45GIP1",1,"Other","A9EBA9",1
"GALNT10",1,"Other","A9EBA9",1
"GAPDH",1,"Other","A9EBA9",1
"GAPDHP40",1,"Other","A9EBA9",1
"GAPDHP64",1,"Other","A9EBA9",1
"GAPDHP72",0,"TF","F0C69C",1
"GAR1",1,"Other","A9EBA9",1
"GARS1-DT",1,"Other","A9EBA9",1
"GART",1,"Other","A9EBA9",1
"GAS5",0,"TF","F0C69C",1
"GAS7",1,"Other","A9EBA9",1
"GATA1",0,"TF","F0C69C",1
"GATA2",0,"TF","F0C69C",1
"GATD3B",1,"Other","A9EBA9",1
"GBP2",1,"Other","A9EBA9",1
"GCHFR",1,"Other","A9EBA9",1
"GCSAML",1,"Other","A9EBA9",1
"GET3",1,"Other","A9EBA9",1
"GFI1",0,"TF","F0C69C",1
"GFI1B",0,"TF","F0C69C",1
"GLIPR1",0,"TF","F0C69C",1
"GLOD5",1,"Other","A9EBA9",1
"GMPR",1,"Other","A9EBA9",1
"GNG5",1,"Other","A9EBA9",1
"GNL3",1,"Other","A9EBA9",1
"GNPNAT1",1,"Other","A9EBA9",1
"GOLGA4",1,"Other","A9EBA9",1
"GOLGB1",1,"Other","A9EBA9",1
"GPR160",1,"Other","A9EBA9",1
"GPR85",1,"Other","A9EBA9",1
"GPT2",1,"Other","A9EBA9",1
"GPX1",0,"TF","F0C69C",1
"GPX1P1",1,"Other","A9EBA9",1
"GPX4",1,"Other","A9EBA9",1
"GRAMD1B",1,"Other","A9EBA9",1
"GRAP2",0,"TF","F0C69C",1
"GRHPR",1,"Other","A9EBA9",1
"GRWD1",1,"Other","A9EBA9",1
"GSN",1,"Other","A9EBA9",1
"GSTO1",1,"Other","A9EBA9",1
"GSTP1",1,"Other","A9EBA9",1
"GTF2H2",1,"Other","A9EBA9",1
"GTF3C6",1,"Other","A9EBA9",1
"GTSF1",1,"Other","A9EBA9",1
"GUCD1",1,"Other","A9EBA9",1
"GUK1",1,"Other","A9EBA9",1
"GYPC",1,"Other","A9EBA9",1
"H2AZ1",1,"Other","A9EBA9",1
"H3-3B",1,"Other","A9EBA9",1
"H3P16",1,"Other","A9EBA9",1
"HACD1",1,"Other","A9EBA9",1
"HAL",1,"Other","A9EBA9",1
"HAX1",1,"Other","A9EBA9",1
"HBB",1,"Other","A9EBA9",1
"HBD",0,"TF","F0C69C",1
"HBQ1",1,"Other","A9EBA9",1
"HCST",1,"Other","A9EBA9",1
"HEMGN",1,"Other","A9EBA9",1
"HGF",1,"Other","A9EBA9",1
"HIP1",1,"Other","A9EBA9",1
"HLA-C",0,"TF","F0C69C",1
"HLA-DPA1",1,"Other","A9EBA9",1
"HLA-DPB1",1,"Other","A9EBA9",1
"HLA-DQA2",1,"Other","A9EBA9",1
"HLA-DQB1",0,"TF","F0C69C",1
"HLA-DRA",1,"Other","A9EBA9",1
"HLA-DRB1",1,"Other","A9EBA9",1
"HLA-DRB6",1,"Other","A9EBA9",1
"HLX",1,"Other","A9EBA9",1
"HMGA1",1,"Other","A9EBA9",1
"HMGB1P5",1,"Other","A9EBA9",1
"HMGB3P6",1,"Other","A9EBA9",1
"HMGN2",1,"Other","A9EBA9",1
"HNRNPA1P10",1,"Other","A9EBA9",1
"HNRNPM",1,"Other","A9EBA9",1
"HOPX",1,"Other","A9EBA9",1
"HPGDS",0,"TF","F0C69C",1
"HRAS",1,"Other","A9EBA9",1
"HSBP1",1,"Other","A9EBA9",1
"HSH2D",1,"Other","A9EBA9",1
"HSP90AA1",1,"Other","A9EBA9",1
"HSP90AB1",1,"Other","A9EBA9",1
"HSP90B1",1,"Other","A9EBA9",1
"HSPB1",1,"Other","A9EBA9",1
"HSPB1P1",1,"Other","A9EBA9",1
"HSPD1",1,"Other","A9EBA9",1
"HYAL3",1,"Other","A9EBA9",1
"ICAM2",1,"Other","A9EBA9",1
"ICAM5",1,"Other","A9EBA9",1
"IDH3G",1,"Other","A9EBA9",1
"IFITM1",1,"Other","A9EBA9",1
"IFITM2",0,"TF","F0C69C",1
"IFITM3P1",0,"TF","F0C69C",1
"IGF2BP1",0,"TF","F0C69C",1
"IGFBP2",1,"Other","A9EBA9",1
"IGFBP4",0,"TF","F0C69C",1
"IGFBP7",1,"Other","A9EBA9",1
"IGHM",1,"Other","A9EBA9",1
"IGLL1",0,"TF","F0C69C",1
"IL12RB2",1,"Other","A9EBA9",1
"IL17RA",1,"Other","A9EBA9",1
"IL1RL1",1,"Other","A9EBA9",1
"IL2RG",1,"Other","A9EBA9",1
"IL6R",0,"TF","F0C69C",1
"IMP4",1,"Other","A9EBA9",1
"INKA1",1,"Other","A9EBA9",1
"IQGAP2",1,"Other","A9EBA9",1
"IRAK3",1,"Other","A9EBA9",1
"IRF8",0,"TF","F0C69C",1
"ISOC2",1,"Other","A9EBA9",1
"ITGA2B",0,"TF","F0C69C",1
"ITGA5",1,"Other","A9EBA9",1
"ITGA6",1,"Other","A9EBA9",1
"ITM2A",0,"TF","F0C69C",1
"ITM2C",1,"Other","A9EBA9",1
"JAK3",0,"TF","F0C69C",1
"JAKMIP2",1,"Other","A9EBA9",1
"JAML",1,"Other","A9EBA9",1
"KCNE3",1,"Other","A9EBA9",1
"KCNH2",0,"TF","F0C69C",1
"KCNK6",1,"Other","A9EBA9",1
"KDELR1",1,"Other","A9EBA9",1
"KDM5D",0,"TF","F0C69C",1
"KEL",0,"TF","F0C69C",1
"KIAA0319L",1,"Other","A9EBA9",1
"KIAA0930",1,"Other","A9EBA9",1
"KLF1",0,"TF","F0C69C",1
"KLHDC3",1,"Other","A9EBA9",1
"KLHDC8B",1,"Other","A9EBA9",1
"KRTCAP2",1,"Other","A9EBA9",1
"KTN1",1,"Other","A9EBA9",1
"LAGE3",1,"Other","A9EBA9",1
"LAMB2",1,"Other","A9EBA9",1
"LAMTOR2",1,"Other","A9EBA9",1
"LAMTOR4",1,"Other","A9EBA9",1
"LAMTOR5",1,"Other","A9EBA9",1
