"","family","T1","avg_dT2","avg_dT3","predicted.celltype","Colony_size","exp","distance"
"AC000082.1",0,0,0,0,0,0,0,0
"AC000089.1",0.045403,0,0.004757,0,0,0,0.10791,0.047086
"AC000095.3",0,0,0,0,0,0,0,0
"AC000120.2",0,0,0,0,0,0,0,0
"AC000123.1",0,0,0,0,0,0,0,0
"AC000123.2",0,0,0,0,0,0,0,0
"AC000123.3",0,0,0,0,0.046903,0,0,0
"AC001226.1",0,0,0,0,0,0,0,0
"AC001226.2",0.027624,0,0,0,0,0,0,0
"AC002044.2",0,0,0,0,0.00181,0,0.004117,0
"AC002044.3",0,0,0,0,0,0,0,0
"AC002056.1",0,0,0,0,0.017339,0,0,0
"AC002059.1",0,0,0,0,0,0,0,0
"AC002059.3",0,0,0,0,0,0,0,0
"AC002073.1",0,0,0,0,0,0,0,0
"AC002074.1",0,0,0,0,0,0,0,0
"AC002075.2",0,0,0,0.006722,0.011003,0,0,0.03327
"AC002091.1",0,0,0,0,0,0,0,0
"AC002091.2",0,0,0,0,0,0,0,0
"AC002094.4",0,0,0,0,0,0,0,0
"AC002094.5",0,0,0,0,0,0,0,0
"AC002116.2",0,0,0,0,0,0,0,0
"AC002128.1",0,0,0,0,0,0,0,0
"AC002128.2",0,0,0,0,0,0,0,0
"AC002306.1",0,0,0,0,0,0,0,0
"AC002310.1",0,0,0.017833,0,0,0,0,0
"AC002310.2",0,0,0,0,0.001522,0,0,0
"AC002310.3",0,0,0,0,0,0,0,0
"AC002310.4",0,0,0,0,0,0,0,0
"AC002310.5",0,0,0,0,0,0,0,0
"AC002347.1",0,0,0,0,0,0,0,0
"AC002350.2",0,0,0,0,0,0,0,0
"AC002381.1",0,0,0,0,0,0,0,0
"AC002395.1",0,0,0,0,0,0,0,0
"AC002398.1",0,0,0,0,0,0,0,0
"AC002401.1",0,0,0,0,0,0,0,0
"AC002401.4",0,0,0,0,0,0,0,0
"AC002407.2",0,0,0,0,0,0,0,0
"AC002429.1",0,0,0,0,0,0,0,0
"AC002456.1",0,0,0,0,0,0,0,0
"AC002463.1",0,0,0,0,0,0,0,0
"AC002464.1",0.011101,0,0,0,0.031473,0,0,0
"AC002467.1",0,0,0,0,0.071244,0,0,0
"AC002470.1",0,0,0,0,0,0,0,0
"AC002470.2",0,0,0,0,0,0,0,0
"AC002504.1",0,0,0,0,0,0,0.001914,0
"AC002519.2",0,0.004994,0,0,0,0,0,0
"AC002524.1",0,0,0,0,0,0,0,0
"AC002542.6",0,0,0,0,0.015885,0,0,0
"AC002543.1",0,0,0,0,0,0,0,0
"AC002546.1",0,0,0,0,0,0,0,0
"AC002550.2",0,0,0.007104,0.015743,0,0.013416,0,0
"AC002551.1",0,0,0,0,0,0,0,0.006158
"AC002553.1",0,0,0,0,0,0,0.006749,0
"AC002558.1",0,0,0,0,0,0,0,0
"AC002558.2",0,0,0,0,0,0,0,0
"AC002558.3",0,0,0,0,0.016357,0.003943,0,0
"AC002996.1",0,0,0,0,0,0,0,0
"AC003002.2",0,0,0,0,0,0,0,0
"AC003005.1",0,0,0,0,0,0,0,0
"AC003006.1",0,0,0,0,0,0,0,0
"AC003035.1",0,0,0,0,0.00962,0,0,0
"AC003072.1",0,0,0,0,0,0,0,0
"AC003080.1",0,0,0,0,0,0,0,0
"AC003086.1",0,0,0,0,0,0,0,0
"AC003093.1",0,0,0,0,0,0,0,0
"AC003102.1",0,0,0,0.00249,0,0,0,0
"AC003681.1",0,0,0,0,0.024647,0,0,0
"AC003956.1",0,0,0,0,0,0,0,0
"AC003957.1",0,0,0,0,0,0,0,0
"AC003965.1",0,0,0,0,0,0,0,0
"AC003989.1",0,0.004625,0,0,0,0,0,0
"AC003989.2",0,0,0,0,0,0,0,0
"AC003991.1",0,0,0,0,0,0.00437,0,0
"AC003991.2",0,0,0,0,0,0,0,0
"AC004000.1",0,0,0,0,0,0,0.021616,0
"AC004014.2",0,0,0,0,0,0,0,0
"AC004024.1",0,0,0,0,0,0,0,0
"AC004034.1",0,0,0,0,0,0,0,0
"AC004039.1",0,0,0,0,0,0,0,0
"AC004057.1",0.064546,0,0,0,0.020995,0,0,0.037652
"AC004067.1",0,0,0,0,0,0,0,0
"AC004069.1",0,0,0,0,0.011542,0,0.003053,0
