"var_names","is_consequence","group","group_color"
"TLR2",1,"Other","A9EBA9"
"TLR4",1,"Other","A9EBA9"
"TMEM123",1,"Other","A9EBA9"
"TMEM160",1,"Other","A9EBA9"
"TMEM258",1,"Other","A9EBA9"
"TMSB4X",1,"Other","A9EBA9"
"TMSB4XP4",1,"Other","A9EBA9"
"TNFRSF19",1,"Other","A9EBA9"
"TNFRSF1B",1,"Other","A9EBA9"
"TNFSF13B",0,"TF","F0C69C"
"TNIK",1,"Other","A9EBA9"
"TOMM22",1,"Other","A9EBA9"
"TOMM40",1,"Other","A9EBA9"
"TOMM5",1,"Other","A9EBA9"
"TOMM7",1,"Other","A9EBA9"
"TOP2B",1,"Other","A9EBA9"
"TP53RK",1,"Other","A9EBA9"
"TPI1",1,"Other","A9EBA9"
"TPI1P1",1,"Other","A9EBA9"
"TPI1P2",1,"Other","A9EBA9"
"TPM1",1,"Other","A9EBA9"
"TPST2",1,"Other","A9EBA9"
"TPT1",1,"Other","A9EBA9"
"TRAPPC2L",1,"Other","A9EBA9"
"TRAPPC5",1,"Other","A9EBA9"
"TRAPPC6A",1,"Other","A9EBA9"
"TREML2",0,"TF","F0C69C"
"TRGC1",1,"Other","A9EBA9"
"TRIAP1",1,"Other","A9EBA9"
"TRIM14",1,"Other","A9EBA9"
"TSC22D1",1,"Other","A9EBA9"
"TSFM",1,"Other","A9EBA9"
"TSN",1,"Other","A9EBA9"
"TSPAN32",1,"Other","A9EBA9"
"TSPO",1,"Other","A9EBA9"
"TSPOAP1",0,"TF","F0C69C"
"TTC7A",1,"Other","A9EBA9"
"TTTY14",0,"TF","F0C69C"
"TUBB2A",1,"Other","A9EBA9"
"TUFM",1,"Other","A9EBA9"
"TXLNGY",0,"TF","F0C69C"
"TXN",1,"Other","A9EBA9"
"TXN2",1,"Other","A9EBA9"
"TXNDC17",1,"Other","A9EBA9"
"UBA52",1,"Other","A9EBA9"
"UBASH3A",1,"Other","A9EBA9"
"UBB",1,"Other","A9EBA9"
"UBE2C",1,"Other","A9EBA9"
"UBE2N",1,"Other","A9EBA9"
"UBE2S",1,"Other","A9EBA9"
"UBE2W",1,"Other","A9EBA9"
"UBL5",1,"Other","A9EBA9"
"UQCRFS1",0,"TF","F0C69C"
"UQCRHP2",1,"Other","A9EBA9"
"UQCRQ",1,"Other","A9EBA9"
"USP25",1,"Other","A9EBA9"
"USP9Y",0,"TF","F0C69C"
"UTY",0,"TF","F0C69C"
"VPS28",1,"Other","A9EBA9"
"WASH5P",1,"Other","A9EBA9"
"WASH7P",0,"TF","F0C69C"
"WDFY1",1,"Other","A9EBA9"
"WDR18",1,"Other","A9EBA9"
"WDR46",1,"Other","A9EBA9"
"WDR60",1,"Other","A9EBA9"
"WNT5B",1,"Other","A9EBA9"
"XACT",0,"TF","F0C69C"
"XIST",0,"TF","F0C69C"
"XRCC2",1,"Other","A9EBA9"
"YBX1P2",1,"Other","A9EBA9"
"YIF1B",1,"Other","A9EBA9"
"Z74021.1",1,"Other","A9EBA9"
"ZBTB16",1,"Other","A9EBA9"
"ZC3H13",1,"Other","A9EBA9"
"ZC3H14",1,"Other","A9EBA9"
"ZFPM1",1,"Other","A9EBA9"
"ZFY",1,"Other","A9EBA9"
"ZKSCAN1",1,"Other","A9EBA9"
"ZMYND8",1,"Other","A9EBA9"
"ZNF385A",1,"Other","A9EBA9"
"ZNF521",1,"Other","A9EBA9"
"ZNRD2",1,"Other","A9EBA9"
"AL590609.2",1,"Other","A9EBA9"
"LINC01806",1,"Other","A9EBA9"
"ZNF215",1,"Other","A9EBA9"
"T1",0,"TF","F0C69C"
"avg_dT2",0,"TF","F0C69C"
"avg_dT3",0,"TF","F0C69C"
"max_var",0,"TF","F0C69C"
"min_var",0,"TF","F0C69C"
"predicted.celltype",0,"TF","F0C69C"
"Colony_size",0,"TF","F0C69C"
"homogeneity",0,"TF","F0C69C"
"n_celltypes",0,"TF","F0C69C"
"exp",0,"TF","F0C69C"
"distance",0,"TF","F0C69C"
