"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","predicted.celltype","avg_dT2","avg_dT3","var_dT2","var_dT3","max_var","min_var","distance"
"AD1.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD4.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD5.I.E12","I_E12",49,16,16,16,17,21,21,8,"CD34+CD38-/HPC",16,18.75,0,6.91666666666667,6.91666666666667,0,0.197989309565035
"AD6.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD7.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"GraP",20,NA,0,NA,0,0,0.25050244088981
"AD8.I.E12","I_E12",49,16,16,16,17,21,21,8,"MyP",16,18.75,0,6.91666666666667,6.91666666666667,0,0.197989309565035
"AD12.I.F5","I_F5",45,18,18,15,16,17,17,9,"CD34+CD38-/HPC",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD13.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD14.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD15.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD16.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD17.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD18.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD20.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD21.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD22.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD23.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD24.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD25.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD26.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD27.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+CD38-/HPC",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD28.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+CD38-/HPC",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD29.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD30.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD31.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD32.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
